Film,Year,URL Encoded name,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION
Breakfast at Tiffany's,1961,Breakfast%20at%20Tiffany%27s,BreakfastatTiffanys1_ec,"Courtesy of Everett Collection, Inc.",Directed by,Blake Edwards,http://imdb.com/name/nm0001175/,Central Park Mall<br>Manhattan,40.77321313,-73.97127986,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0054698/,Tiffany & Co. - 727 Fifth Avenue at 57th Street,,Y,48,,Y
Broadway Danny Rose,1984,Broadway%20Danny%20Rose,BroadwayDannyRose_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Carnegie Deli at 854 Seventh Ave.<br>Midtown<br>Manhattan,40.764073,-73.981288,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0087003/,Carnegie Deli - 7th Avenue at 55th Street,poor quality,Y,158,,Y
Cagney & Lacey,1982-1988,Cagney%20%26%20Lacey,CagneyandLacey_pf,Courtesy of Photofest,Created by,"Barbara Avedon,Barbara Corday,(more)","http://imdb.com/name/nm0042853/,http://imdb.com/name/nm0179400/,http://imdb.com/title/tt0083395/fullcredits#writers",Howard Beach<br>Queens,40.66553541,-73.8412571,Queens,Queens,N/A,TV,http://imdb.com/title/tt0083395/,Howard Beach ,,Y,256,,Y
Center Stage,2000,Center%20Stage,,,Directed by,Nicholas Hytner,http://imdb.com/name/nm0405336/,American Ballet Theater<br>890 Broadway<br>Manhattan,40.738641,-73.989774,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0210616/,American Ballet Theater: 890 Broadway,,Y,215,,N
Chasing Amy,1997,Chasing%20Amy,,,Directed by,Kevin Smith,http://imdb.com/name/nm0003620/,269 E. Houston St.<br>Lower East Side<br>Manhattan,40.721516,-73.984616,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0118842/,269 East Houston Street,,Y,188,,N
Chelsea Walls,2001,Chelsea%20Walls,ChelseaWalls_pf,Courtesy of Photofest,Directed by,Ethan Hawke,http://imdb.com/name/nm0000160/,Chelsea Hotel on W. 23rd St.<br>Chelsea<br>Manhattan,40.744287,-73.996497,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0226935/,"Chelsea Hotel, 23rd street",,Y,242,,Y
Clockers,1995,Clockers,Clockers2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Gowanus Houses<br>Brooklyn,40.6841528,-73.98804903,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0112688/,"Gowanus Houses: Wycoff, Douglass, Bond and Hoyt streets",We have another photo,Y,178,,Y
Coogan's Bluff,1968,Coogan%27s%20Bluff,CoogansBluff_pf,Courtesy of Photofest,Directed by,Don Siegel,http://imdb.com/name/nm0796923/,Fort Tryon Park<br>Manhattan,40.85946031,-73.93408298,Manhattan,Fort George,N/A,Film,http://www.imdb.com/title/tt0062824/,Fort Tyron Park,,Y,95,,Y
Cotton Comes to Harlem,1970,Cotton%20Comes%20to%20Harlem,,,Directed by,Ossie Davis,http://imdb.com/name/nm0001115/,Harlem,40.80650084,-73.93928647,Manhattan,Harlem,N/A,Film,http://imdb.com/title/tt0065579/,Harlem,,Y,100,N,N
Crocodile Dundee,1986,Crocodile%20Dundee,CrocodileDundee3_pf,Courtesy of Photofest,Directed by,Peter Faiman,http://imdb.com/name/nm0265363/,Fifth Ave. and 53rd St.<br>Midtown<br>Manhattan,40.7604,-73.9758,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0090555/,Fifth Avenue,,Y,133,,Y
